hop,ip,rtts_ms,avg_rtt_ms,min_rtt_ms,max_rtt_ms,is_private,cidr_24,cidr_16,subnet_boundary_from_prev,boundary_reason,latency_jump_from_prev_ms
1,10.239.0.1,"9.0,6.0,6.0",7.00,6.00,9.00,True,10.239.0.0/24,10.239.0.0/16,False,,
2,128.197.255.134,"7.0,4.0,5.0",5.33,4.00,7.00,False,128.197.255.0/24,128.197.0.0/16,True,major_prefix_change_/16,-1.67
3,128.197.254.114,"5.0,5.0,6.0",5.33,5.00,6.00,False,128.197.254.0/24,128.197.0.0/16,True,subnet_change_/24,0.00
4,18.2.128.201,"8.0,4.0,3.0",5.00,3.00,8.00,False,18.2.128.0/24,18.2.0.0/16,True,major_prefix_change_/16,-0.33
5,,,,,,,,,False,,
6,172.68.52.15,"5.0,3.0,4.0",4.00,3.00,5.00,False,172.68.52.0/24,172.68.0.0/16,True,major_prefix_change_/16,-1.00
7,1.1.1.1,"5.0,4.0,5.0",4.67,4.00,5.00,False,1.1.1.0/24,1.1.0.0/16,True,major_prefix_change_/16,0.67
