hop,ip,rtts_ms,avg_rtt_ms,min_rtt_ms,max_rtt_ms,is_private,cidr_24,cidr_16,subnet_boundary_from_prev,boundary_reason,latency_jump_from_prev_ms
1,10.239.0.1,"3.0,2.0,4.0",3.00,2.00,4.00,True,10.239.0.0/24,10.239.0.0/16,False,,
2,128.197.254.132,"12.0,3.0,3.0",6.00,3.00,12.00,False,128.197.254.0/24,128.197.0.0/16,True,major_prefix_change_/16,3.00
3,128.197.254.118,"5.0,6.0,21.0",10.67,5.00,21.00,False,128.197.254.0/24,128.197.0.0/16,False,,4.67
4,18.2.128.201,"3.0,9.0,3.0",5.00,3.00,9.00,False,18.2.128.0/24,18.2.0.0/16,True,major_prefix_change_/16,-5.67
5,198.71.47.57,"13.0,11.0,12.0",12.00,11.00,13.00,False,198.71.47.0/24,198.71.0.0/16,True,major_prefix_change_/16,7.00
6,163.253.1.44,"44.0,34.0",39.00,34.00,44.00,False,163.253.1.0/24,163.253.0.0/16,True,major_prefix_change_/16,27.00
7,163.253.1.116,"15.0,19.0,23.0",19.00,15.00,23.00,False,163.253.1.0/24,163.253.0.0/16,False,,-20.00
8,163.253.1.133,"18.0,13.0,28.0",19.67,13.00,28.00,False,163.253.1.0/24,163.253.0.0/16,False,,0.67
9,72.14.209.106,"14.0,13.0,13.0",13.33,13.00,14.00,False,72.14.209.0/24,72.14.0.0/16,True,major_prefix_change_/16,-6.33
10,192.178.248.17,"31.0,15.0,15.0",20.33,15.00,31.00,False,192.178.248.0/24,192.178.0.0/16,True,major_prefix_change_/16,7.00
11,192.178.248.40,"28.0,16.0,17.0",20.33,16.00,28.00,False,192.178.248.0/24,192.178.0.0/16,False,,0.00
12,72.14.233.183,"21.0,13.0,25.0",19.67,13.00,25.00,False,72.14.233.0/24,72.14.0.0/16,True,major_prefix_change_/16,-0.67
13,,,,,,,,,False,,
14,,,,,,,,,False,,
15,,,,,,,,,False,,
16,,,,,,,,,False,,
17,,,,,,,,,False,,
18,,,,,,,,,False,,
19,108.170.234.39,"105.0,86.0,77.0",89.33,77.00,105.00,False,108.170.234.0/24,108.170.0.0/16,True,major_prefix_change_/16,69.67
20,64.233.175.71,"74.0,70.0,73.0",72.33,70.00,74.00,False,64.233.175.0/24,64.233.0.0/16,True,major_prefix_change_/16,-17.00
