hop,ip,rtts_ms,avg_rtt_ms,min_rtt_ms,max_rtt_ms,is_private,cidr_24,cidr_16,subnet_boundary_from_prev,boundary_reason,latency_jump_from_prev_ms
1,10.239.0.1,"17.0,5.0,5.0",9.00,5.00,17.00,True,10.239.0.0/24,10.239.0.0/16,False,,
2,128.197.254.132,"2.0,2.0,2.0",2.00,2.00,2.00,False,128.197.254.0/24,128.197.0.0/16,True,major_prefix_change_/16,-7.00
3,128.197.254.118,"26.0,16.0",21.00,16.00,26.00,False,128.197.254.0/24,128.197.0.0/16,False,,19.00
4,18.2.128.201,"21.0,14.0,12.0",15.67,12.00,21.00,False,18.2.128.0/24,18.2.0.0/16,True,major_prefix_change_/16,-5.33
5,198.71.47.57,"24.0,15.0,22.0",20.33,15.00,24.00,False,198.71.47.0/24,198.71.0.0/16,True,major_prefix_change_/16,4.67
6,163.253.1.44,"18.0,25.0,38.0",27.00,18.00,38.00,False,163.253.1.0/24,163.253.0.0/16,True,major_prefix_change_/16,6.67
7,163.253.1.116,"37.0,31.0,17.0",28.33,17.00,37.00,False,163.253.1.0/24,163.253.0.0/16,False,,1.33
8,163.253.1.133,"29.0,18.0,13.0",20.00,13.00,29.00,False,163.253.1.0/24,163.253.0.0/16,False,,-8.33
9,72.14.209.106,"14.0,18.0,14.0",15.33,14.00,18.00,False,72.14.209.0/24,72.14.0.0/16,True,major_prefix_change_/16,-4.67
10,192.178.248.17,"16.0,25.0,18.0",19.67,16.00,25.00,False,192.178.248.0/24,192.178.0.0/16,True,major_prefix_change_/16,4.33
11,192.178.248.40,"17.0,22.0,14.0",17.67,14.00,22.00,False,192.178.248.0/24,192.178.0.0/16,False,,-2.00
12,72.14.233.183,"15.0,14.0,17.0",15.33,14.00,17.00,False,72.14.233.0/24,72.14.0.0/16,True,major_prefix_change_/16,-2.33
13,,,,,,,,,False,,
14,,,,,,,,,False,,
15,,,,,,,,,False,,
16,,,,,,,,,False,,
17,,,,,,,,,False,,
18,,,,,,,,,False,,
19,108.170.234.39,"76.0,74.0,77.0",75.67,74.00,77.00,False,108.170.234.0/24,108.170.0.0/16,True,major_prefix_change_/16,60.33
20,64.233.175.71,"78.0,79.0,71.0",76.00,71.00,79.00,False,64.233.175.0/24,64.233.0.0/16,True,major_prefix_change_/16,0.33
